#LVM II					at equilibrium	
#t	X0=2	Y0=1.3	X0=0.5	Y0=0.5	x	y
179.5	1.086077	1.440582	0.520936	2.366661	1	1.9
180	1.110579	1.447682	0.510878	2.310048	1	1.9
180.5	1.13504	1.4566	0.502455	2.253749	1	1.9
181	1.159329	1.46736	0.495576	2.197982	1	1.9
181.5	1.183302	1.479986	0.490162	2.142937	1	1.9
182	1.206808	1.494494	0.486145	2.088778	1	1.9
182.5	1.229688	1.510896	0.483465	2.035648	1	1.9
183	1.251774	1.529197	0.482069	1.983667	1	1.9
183.5	1.272894	1.549394	0.481915	1.932939	1	1.9
184	1.29287	1.571473	0.482968	1.883551	1	1.9
184.5	1.311522	1.595407	0.485198	1.835575	1	1.9
185	1.328673	1.621158	0.488585	1.789073	1	1.9
185.5	1.344147	1.648669	0.493112	1.744095	1	1.9
186	1.357775	1.677869	0.49877	1.70068	1	1.9
186.5	1.369398	1.708665	0.505553	1.658861	1	1.9
187	1.378872	1.740945	0.513461	1.618665	1	1.9
187.5	1.386066	1.774576	0.522499	1.580113	1	1.9
188	1.390873	1.8094	0.532674	1.543219	1	1.9
188.5	1.393207	1.845236	0.543997	1.507998	1	1.9
189	1.393009	1.881884	0.556484	1.474457	1	1.9
189.5	1.39025	1.919118	0.570152	1.442605	1	1.9
190	1.384931	1.956693	0.58502	1.412449	1	1.9
190.5	1.377084	1.994347	0.60111	1.383994	1	1.9
191	1.366773	2.031802	0.618443	1.357245	1	1.9
191.5	1.354094	2.06877	0.637044	1.332209	1	1.9
192	1.339172	2.104957	0.656934	1.308894	1	1.9
192.5	1.322159	2.140066	0.678136	1.287309	1	1.9
193	1.303234	2.173805	0.700672	1.267465	1	1.9
193.5	1.282593	2.205891	0.724559	1.249375	1	1.9
194	1.26045	2.236055	0.749814	1.233058	1	1.9
194.5	1.237029	2.26405	0.776446	1.218533	1	1.9
195	1.212561	2.28965	0.804463	1.205826	1	1.9
195.5	1.187281	2.312659	0.833862	1.194966	1	1.9
196	1.16142	2.332912	0.864634	1.185986	1	1.9
196.5	1.135201	2.350278	0.89676	1.178925	1	1.9
197	1.108839	2.364662	0.93021	1.17383	1	1.9
197.5	1.082535	2.376001	0.964941	1.170751	1	1.9
198	1.056476	2.384269	1.000895	1.169746	1	1.9
198.5	1.03083	2.389474	1.037995	1.170879	1	1.9
199	1.005749	2.391654	1.076148	1.17422	1	1.9
199.5	0.981366	2.390876	1.115238	1.179847	1	1.9
200	0.957794	2.387233	1.155127	1.187845	1	1.9
200.5	0.935132	2.380842	1.19565	1.198305	1	1.9
201	0.91346	2.371837	1.236617	1.211323	1	1.9
201.5	0.892841	2.360369	1.277809	1.227002	1	1.9
202	0.873328	2.3466	1.318975	1.245446	1	1.9
202.5	0.854955	2.330702	1.359837	1.266764	1	1.9
203	0.837751	2.312854	1.400083	1.291065	1	1.9
203.5	0.821732	2.293237	1.439373	1.318452	1	1.9
204	0.806904	2.272034	1.477338	1.349026	1	1.9
204.5	0.793269	2.249425	1.513584	1.382874	1	1.9
205	0.780823	2.22559	1.547695	1.420069	1	1.9
205.5	0.769554	2.200703	1.57924	1.460663	1	1.9
206	0.75945	2.174931	1.607782	1.504679	1	1.9
206.5	0.750496	2.148438	1.632883	1.552104	1	1.9
207	0.742672	2.121377	1.654117	1.602882	1	1.9
207.5	0.735959	2.093896	1.671081	1.656905	1	1.9
208	0.730338	2.066135	1.683411	1.714007	1	1.9
208.5	0.725788	2.038223	1.690792	1.773953	1	1.9
209	0.722289	2.010284	1.692972	1.836435	1	1.9
209.5	0.719822	1.982432	1.689777	1.901071	1	1.9
210	0.718366	1.954775	1.681122	1.9674	1	1.9
210.5	0.717904	1.927411	1.667016	2.034884	1	1.9
211	0.718418	1.900433	1.647571	2.102917	1	1.9
211.5	0.719891	1.873925	1.623003	2.170832	1	1.9
212	0.722306	1.847968	1.593624	2.237917	1	1.9
212.5	0.72565	1.822632	1.559841	2.30343	1	1.9
213	0.729907	1.797985	1.522136	2.366623	1	1.9
213.5	0.735063	1.774089	1.481058	2.42676	1	1.9
214	0.741105	1.751001	1.437198	2.483139	1	1.9
214.5	0.748019	1.728773	1.391174	2.535119	1	1.9
215	0.755793	1.707455	1.343606	2.582132	1	1.9
215.5	0.764413	1.687091	1.295104	2.6237	1	1.9
216	0.773864	1.667723	1.246243	2.659451	1	1.9
216.5	0.784133	1.64939	1.197558	2.689117	1	1.9
217	0.795203	1.63213	1.149526	2.712543	1	1.9
217.5	0.807057	1.615976	1.102564	2.729677	1	1.9
218	0.819676	1.600961	1.057024	2.740572	1	1.9
218.5	0.833039	1.587117	1.013196	2.745366	1	1.9
219	0.847123	1.574472	0.971304	2.744279	1	1.9
219.5	0.861901	1.563056	0.931516	2.737595	1	1.9
220	0.877344	1.552896	0.893949	2.725651	1	1.9
220.5	0.893418	1.544017	0.858672	2.70882	1	1.9
221	0.910087	1.536448	0.825716	2.687505	1	1.9
221.5	0.927308	1.530211	0.79508	2.662122	1	1.9
222	0.945035	1.525332	0.766738	2.633093	1	1.9
222.5	0.963217	1.521835	0.740641	2.60084	1	1.9
223	0.981795	1.519742	0.716729	2.565773	1	1.9
223.5	1.000707	1.519075	0.694928	2.528289	1	1.9
224	1.019883	1.519856	0.67516	2.488765	1	1.9
224.5	1.039248	1.522104	0.657343	2.447559	1	1.9
225	1.05872	1.525836	0.641392	2.405005	1	1.9
225.5	1.07821	1.531068	0.627225	2.361413	1	1.9
226	1.097623	1.537814	0.614763	2.317069	1	1.9
226.5	1.116858	1.546083	0.603929	2.272234	1	1.9
227	1.135808	1.555883	0.594651	2.227148	1	1.9
227.5	1.154362	1.567213	0.586864	2.182025	1	1.9
228	1.172402	1.580072	0.580505	2.137062	1	1.9
228.5	1.189809	1.59445	0.57552	2.092432	1	1.9
229	1.206457	1.61033	0.571858	2.048291	1	1.9
229.5	1.222223	1.627687	0.569474	2.004779	1	1.9
230	1.236982	1.646488	0.56833	1.962019	1	1.9
230.5	1.25061	1.666689	0.568392	1.920119	1	1.9
231	1.262987	1.688237	0.569631	1.879175	1	1.9
231.5	1.273997	1.711063	0.572023	1.839271	1	1.9
232	1.283532	1.735091	0.575547	1.800481	1	1.9
232.5	1.291493	1.760226	0.580189	1.762869	1	1.9
233	1.297792	1.786362	0.585936	1.726492	1	1.9
233.5	1.302353	1.813379	0.592779	1.691397	1	1.9
234	1.305118	1.841143	0.600714	1.657628	1	1.9
234.5	1.306041	1.869504	0.609737	1.625222	1	1.9
235	1.305098	1.898302	0.619848	1.594212	1	1.9
235.5	1.302282	1.927361	0.631048	1.564627	1	1.9
236	1.297606	1.956499	0.643341	1.536493	1	1.9
236.5	1.291103	1.985522	0.65673	1.509834	1	1.9
