#LVM I						
#t	X0=2	Y0=1.3	X0=1.5	Y0=1.5	X0=1.0	Y0=1.5
147.5	2.077345	2.782744	1.230469	2.867209	1.412997	2.185206
148	1.990208	2.930501	1.177355	2.896585	1.398401	2.230013
148.5	1.892969	3.07188	1.125088	2.918555	1.380888	2.273912
149	1.788198	3.203823	1.074159	2.93311	1.360647	2.316485
149.5	1.678614	3.323537	1.024978	2.940365	1.337908	2.357318
150	1.566899	3.428665	0.977868	2.940548	1.312934	2.396009
150.5	1.455537	3.517412	0.933074	2.933979	1.286015	2.432174
151	1.34669	3.588617	0.890767	2.921055	1.257461	2.46546
151.5	1.242114	3.641756	0.851056	2.90223	1.227593	2.495551
152	1.143135	3.676907	0.813992	2.877997	1.196736	2.522174
152.5	1.050656	3.694659	0.779583	2.848871	1.165208	2.545106
153	0.965202	3.696013	0.7478	2.815378	1.13332	2.564174
153.5	0.886978	3.682269	0.718586	2.77804	1.101363	2.579261
154	0.815937	3.654913	0.691863	2.737368	1.069608	2.590306
154.5	0.751845	3.615531	0.667538	2.693852	1.038301	2.597297
155	0.694338	3.565722	0.645511	2.647958	1.007659	2.600275
155.5	0.642975	3.507049	0.625676	2.600125	0.977872	2.599324
156	0.597274	3.440988	0.607927	2.55076	0.949102	2.594571
156.5	0.556745	3.368907	0.59216	2.500237	0.921481	2.586177
157	0.520904	3.292052	0.578272	2.448899	0.895118	2.574333
157.5	0.489294	3.211536	0.56617	2.397059	0.870096	2.559252
158	0.461488	3.128344	0.555764	2.344996	0.846475	2.541167
158.5	0.437098	3.043338	0.54697	2.292965	0.824298	2.520322
159	0.415773	2.957265	0.539715	2.241189	0.803591	2.496969
159.5	0.3972	2.870764	0.533932	2.189869	0.784364	2.471365
160	0.3811	2.784382	0.529559	2.139181	0.766617	2.443762
160.5	0.367231	2.698579	0.526545	2.089282	0.75034	2.414414
161	0.35538	2.613741	0.524844	2.040306	0.735515	2.383564
161.5	0.345363	2.530189	0.524418	1.992372	0.72212	2.35145
162	0.33702	2.448185	0.525234	1.945584	0.710127	2.318296
162.5	0.330216	2.367943	0.527268	1.90003	0.699506	2.284318
163	0.324835	2.289634	0.5305	1.855787	0.690228	2.249719
163.5	0.320778	2.213394	0.534915	1.812921	0.68226	2.214689
164	0.317965	2.139326	0.540505	1.771488	0.67557	2.179407
164.5	0.316328	2.067506	0.547266	1.731537	0.670129	2.144036
165	0.315813	1.997991	0.555198	1.693108	0.665909	2.10873
165.5	0.316379	1.930816	0.564307	1.656238	0.66288	2.07363
166	0.317993	1.866001	0.5746	1.620957	0.66102	2.038865
166.5	0.320634	1.803554	0.586091	1.587291	0.660304	2.004554
167	0.324289	1.743471	0.598794	1.555265	0.660713	1.970806
167.5	0.328953	1.68574	0.612728	1.5249	0.662227	1.937719
168	0.334629	1.630342	0.627912	1.496216	0.664832	1.905384
168.5	0.341328	1.577253	0.644369	1.469234	0.668513	1.873883
169	0.349066	1.526443	0.662121	1.443972	0.67326	1.843291
169.5	0.357867	1.477881	0.681192	1.420452	0.679061	1.813677
170	0.367762	1.431532	0.701607	1.398695	0.68591	1.785103
170.5	0.378786	1.387362	0.723388	1.378724	0.693799	1.757627
171	0.390983	1.345335	0.746556	1.360567	0.702724	1.731301
171.5	0.404399	1.305417	0.771131	1.344252	0.71268	1.706175
172	0.41909	1.267573	0.797127	1.329813	0.723663	1.682294
172.5	0.435115	1.231772	0.824556	1.317287	0.73567	1.659701
173	0.45254	1.197983	0.853421	1.306717	0.748696	1.638436
173.5	0.471434	1.166179	0.88372	1.29815	0.762738	1.618539
174	0.491875	1.136335	0.915439	1.291641	0.77779	1.600047
174.5	0.513944	1.108433	0.948556	1.287249	0.793843	1.582997
175	0.537726	1.082455	0.983033	1.285042	0.81089	1.567425
175.5	0.563314	1.058391	1.018818	1.285095	0.828916	1.553367
176	0.590801	1.036236	1.055842	1.287489	0.847906	1.540861
176.5	0.620286	1.01599	1.094014	1.292316	0.867839	1.529944
177	0.651872	0.997661	1.133222	1.299673	0.888689	1.520654
177.5	0.685661	0.981265	1.173326	1.309667	0.910426	1.513031
178	0.721757	0.966825	1.21416	1.322412	0.93301	1.507115
178.5	0.760265	0.954377	1.255524	1.338029	0.956396	1.502949
179	0.801286	0.943962	1.297189	1.356646	0.980528	1.500577
179.5	0.844915	0.93564	1.338884	1.378392	1.005343	1.500043
180	0.891243	0.929478	1.380307	1.403402	1.030764	1.501394
180.5	0.940349	0.925562	1.421112	1.431808	1.056706	1.504678
181	0.992297	0.923994	1.46092	1.463738	1.08307	1.509943
181.5	1.047132	0.924894	1.499311	1.499312	1.109743	1.517237
182	1.104877	0.928404	1.535832	1.538632	1.1366	1.526609
182.5	1.165522	0.93469	1.570004	1.581779	1.1635	1.538106
183	1.229018	0.943944	1.601323	1.628805	1.190287	1.551771
183.5	1.295273	0.956387	1.629272	1.679719	1.216793	1.567647
184	1.364134	0.972274	1.653334	1.734482	1.242832	1.585768
184.5	1.435383	0.991894	1.673007	1.792994	1.268207	1.606162
185	1.508721	1.015575	1.687815	1.855081	1.292706	1.628851
185.5	1.583758	1.043689	1.697334	1.920489	1.31611	1.65384
186	1.659992	1.076647	1.701204	1.988872	1.338187	1.681126
186.5	1.736805	1.114906	1.699152	2.059785	1.358702	1.710683
187	1.81344	1.158967	1.691008	2.132683	1.377417	1.74247
187.5	1.888995	1.209366	1.676718	2.206924	1.394097	1.776421
188	1.962411	1.266672	1.656359	2.28177	1.408512	1.812443
188.5	2.032472	1.331467	1.630139	2.356407	1.420445	1.850416
189	2.097808	1.404332	1.598394	2.429956	1.429696	1.890186
189.5	2.156909	1.485808	1.561587	2.501506	1.43609	1.931568
190	2.208162	1.576365	1.520285	2.570131	1.43948	1.97434
190.5	2.249893	1.676345	1.475141	2.634932	1.439753	2.018245
191	2.280435	1.785903	1.426869	2.695056	1.436836	2.06299
191.5	2.298218	1.904933	1.376217	2.749735	1.4307	2.10825
192	2.301871	2.032995	1.323938	2.798304	1.421362	2.153669
192.5	2.290334	2.169247	1.270765	2.840225	1.408888	2.198867
193	2.26298	2.312385	1.217386	2.875098	1.39339	2.243442
193.5	2.219704	2.460618	1.164429	2.902665	1.375027	2.286983
194	2.161004	2.611677	1.112448	2.922811	1.354003	2.329071
194.5	2.087994	2.762881	1.061915	2.93556	1.330557	2.369297
195	2.002371	2.911246	1.013215	2.941054	1.304961	2.407261
195.5	1.906327	3.053648	0.966653	2.939547	1.277513	2.442589
